nhsd_service_id,organization,address,city,state,postcode,latitude,longitude,service_category
052deafa-3ee9-45d1-4042-8d5f3376ed61,PUNTUKURNU ABORIGINAL MEDICAL SERVICE,65 MINDARRA DRIVE,NEWMAN,WA,6753,-23.3551985154514,119.735382184118,aboriginal_health
07612fa5-4749-1071-05d8-89b6588de561,Njernda Aboriginal Corporation Medical Centre,84 Hare Street,ECHUCA,VIC,3564,-36.13225555419922,144.75099182128906,aboriginal_health
c1de9854-919e-9ae8-4bee-fc4ecf54cca3,Durri Aboriginal Corporation Medical Service,15-19 York Lane,KEMPSEY,NSW,2440,-31.079452514648438,152.84317016601562,aboriginal_health
c0508bc7-603b-8937-c90f-fb95a6670407,Cunnamulla Aboriginal Corporation of Health (CACH),26-28 JOHN STREET,CUNNAMULLA,QLD,4490,-28.06886395,145.68446694,aboriginal_health
8f3d132e-f7e2-9b16-352c-650a5d186235,Kambu Aboriginal and Torres Strait Islander Corporation for Health - Laidley,164 PATRICK STREET,LAIDLEY,QLD,4341,-27.62850805,152.3947635,aboriginal_health
04f1496c-7224-64a4-a56a-ea894c19c10c,Quilpie Hospital - Indigenous Health,"Hospital,30 Gyrica Street",QUILPIE,QLD,4480,-26.61660385131836,144.2736358642578,aboriginal_health
5fe34125-3f31-cf17-d25b-b7b1cb9dae83,Darrimba Maarra Aboriginal Health Clinic - Nambucca,"Unit 13,42 Bowra Street",NAMBUCCA HEADS,NSW,2448,-30.64087677001953,153.00167846679688,aboriginal_health
52f37007-bf8c-7721-1066-b6c5e45bff27,Yulu-Burri-Ba - Wynnum,85 Edith Street,WYNNUM,QLD,4178,-27.44505500793457,153.17288208007812,aboriginal_health
c6309ce8-b59d-84a8-b385-cfc8f33ffda8,Yulu-Burri-Ba Medical Centre Capalaba,"Shop 2-3,1 Finucane Road",CAPALABA,QLD,4157,-27.522735595703125,153.20130920410156,aboriginal_health
6211d7ef-8dca-95c3-e7af-020345761df2,Aboriginal Health Service Burnie - Pataway,53 Alexander Street,BURNIE,TAS,7320,-41.05352020263672,145.90377807617188,aboriginal_health
0f93eb32-1271-a520-9407-c8a33e9fcecd,Aboriginal Health Hobart - Nipaluna,56 Patrick Street,HOBART,TAS,7000,-42.87866973876953,147.32138061523438,aboriginal_health
f568a32a-3c2f-2292-8bf8-59917d33cff4,Bulgarr Ngaru Medical Aboriginal Corporation - Maclean,17 Woodford Street,MACLEAN,NSW,2463,-29.455827713012695,153.20077514648438,aboriginal_health
3c2e1cc3-1899-7a32-115a-5bdb11148046,Mallee District Aboriginal Services - Orange Avenue,115 Orange Avenue,MILDURA,VIC,3500,-34.18910217285156,142.1616973876953,aboriginal_health
3ed49761-3598-2186-f158-1b1310287c90,Illawarra Aboriginal Medical Service - Wollongong,150 Church Street,WOLLONGONG,NSW,2500,-34.43479919433594,150.89279174804688,aboriginal_health
6639bf1c-c28f-f53c-c7c7-f3580684c3c5,Nunyara Aboriginal Health Service,17-27 Tully Street,WHYALLA STUART,SA,5608,-33.019508361816406,137.52474975585938,aboriginal_health
823fb5cb-43fb-ae3b-3d25-c888b5fb1989,Umoona Tjutagku Health Service Aboriginal Corporation,"Lot 8,Umoona Road",COOBER PEDY,SA,5723,-29.00715446472168,134.7613067626953,aboriginal_health
0847371f-76df-7cc6-9230-21ee4f0d8b38,Ballarat & District Aboriginal Co-Operative (BADAC),106 Armstrong Street N,BALLARAT CENTRAL,VIC,3350,-37.55909394,143.85723342,aboriginal_health
f25ffa0f-e0ff-eac4-6d91-663c829fc1de,Winda-Mara Aboriginal Corporation - Hamilton,107 Thompson Street,HAMILTON,VIC,3300,-37.743125915527344,142.02235412597656,aboriginal_health
23cbd70f-dc6d-2422-29c1-15424d3745dd,Bulgarr Ngaru Medical Aboriginal Corporation - South Grafton,49 Skinner Street,SOUTH GRAFTON,NSW,2460,-29.70283317565918,152.93544006347656,aboriginal_health
21199cb1-88ea-bac6-0ead-5533390a7bee,Bulgarr Ngaru Medical Aboriginal Corporation - Grafton,131-133 Bacon Street,GRAFTON,NSW,2460,-29.68722915649414,152.9345245361328,aboriginal_health
9713834c-efd1-3712-2972-411a5abd11e7,Werin Aboriginal Corporation,14 Lake Road,PORT MACQUARIE,NSW,2444,-31.43559455871582,152.9116973876953,aboriginal_health
bc95aa92-e7ca-5618-9107-877a9240ae62,Biripi Aboriginal Corporation Medical Centre,2a EDWARDS DRIVE,PURFLEET,NSW,2430,-31.940564,152.46995325,aboriginal_health
a46fc0f1-19e6-b73e-0d76-beaaf4961ec3,Greater Western Aboriginal Health Service,2 Palmerston Road,MOUNT DRUITT,NSW,2770,-33.76942825317383,150.8126678466797,aboriginal_health
6c335ae1-d773-2338-0ae6-ea724645fa25,Mulungu Aboriginal Corporation Primary Healthcare Service,162-164 Walsh Street,MAREEBA,QLD,4880,-16.994359970092773,145.4234619140625,aboriginal_health
735812c6-dd13-6d53-ea63-6e395304420b,Victorian Aboriginal Health Service - VAHS Fitzroy,186 Nicholson Street,FITZROY,VIC,3065,-37.799400329589844,144.97518920898438,aboriginal_health
488e1476-d056-d252-d25b-7e3e4095440d,Indigenous Wellbeing Centre,184 Barolin Street,WALKERVALE,QLD,4670,-24.88829783,152.35880566,aboriginal_health
